id,name,name_fr,name_ar,category,sub_category,sector,address,lat,lon,phone,website,opening_hours,operator,beds,source,source_url,confidence_score,osm_amenity,osm_healthcare
osm_node_2903627300,Pharmacie de la sécurité,,,pharmacy,,unknown,Avenue Idriss 1er,33.5722341,-7.6226584,,,,,,OSM,https://www.openstreetmap.org/node/2903627300,0.7,pharmacy,pharmacy
osm_node_3118805798,Pharmacie Bahmad,,,pharmacy,,unknown,,33.5946576,-7.586858,,,,,,OSM,https://www.openstreetmap.org/node/3118805798,0.7,pharmacy,pharmacy
osm_node_3120476694,Pharmacie Vie,,,pharmacy,,unknown,,33.5920721,-7.5895331,,,,,,OSM,https://www.openstreetmap.org/node/3120476694,0.7,pharmacy,pharmacy
osm_node_3229636314,Centre Dentaire Rachidi,,,dentist,,unknown,Boulevard Rachidi,33.5924713,-7.6254107,,,,,,OSM,https://www.openstreetmap.org/node/3229636314,0.7,dentist,dentist
osm_node_3229636315,Cabinet Cardiologie : Dr Roughaleb Faycal,,,doctor,cardiology,unknown,Boulevard Rachidi,33.5924926,-7.6254094,,,,,,OSM,https://www.openstreetmap.org/node/3229636315,0.7,doctors,doctor
osm_node_3346762457,Clinique d'accouchement,,,clinic,,unknown,,33.5930596,-7.6240936,,,,,,OSM,https://www.openstreetmap.org/node/3346762457,0.7,clinic,clinic
osm_node_3362739421,Pharmacie Sidi Maârouf,,,pharmacy,,unknown,Boulevard Abu Baker El Kadiri,33.5136433,-7.6555237,,,,,,OSM,https://www.openstreetmap.org/node/3362739421,0.7,pharmacy,pharmacy
osm_node_3458835686,Pharmacie Ad Doha,,,pharmacy,,unknown,Boulevard Stendhal,33.5700253,-7.6363369,,,,,,OSM,https://www.openstreetmap.org/node/3458835686,0.7,pharmacy,pharmacy
osm_node_3458840609,Pharmacie Annajd,,,pharmacy,,unknown,,33.5700455,-7.6346257,,,,,,OSM,https://www.openstreetmap.org/node/3458840609,0.7,pharmacy,pharmacy
osm_node_3472843948,Grande Pharmacie Commerciale,,,pharmacy,,unknown,,33.5956684,-7.6172472,,,,,,OSM,https://www.openstreetmap.org/node/3472843948,0.7,pharmacy,pharmacy
osm_node_3506033049,Pharmacie des écoles,,,pharmacy,,unknown,,33.5944226,-7.6184008,,,,,,OSM,https://www.openstreetmap.org/node/3506033049,0.7,pharmacy,pharmacy
osm_node_3907193173,Pharmacie Jamai ⵍⵊⴰⵎⵄⵉ صيدلية الجامعي,Pharmacie Jamai,صيدلية الجامعي,pharmacy,,unknown,,33.5582659,-7.6707464,,,,,,OSM,https://www.openstreetmap.org/node/3907193173,0.7,pharmacy,pharmacy
osm_node_3936112702,Pharmacie du Lycée,,,pharmacy,,unknown,,33.5972022,-7.6348484,,,,,,OSM,https://www.openstreetmap.org/node/3936112702,0.7,pharmacy,pharmacy
osm_node_4011384596,"Centre de kinésitherapie et rééducation fonctionelle, Dr.Kourkmadi",,,doctor,,unknown,,33.5975507,-7.6364793,,,,,,OSM,https://www.openstreetmap.org/node/4011384596,0.7,doctors,doctor
