id,name,name_fr,name_ar,sector,category,sub_category,address,lat,lon,phone,website,opening_hours,operator,brand,source,source_type,source_url,confidence_score,is_verified,osm_amenity,osm_shop
osm_node_11413680772,,,,food,fast_food,,,33.584232,-7.6106949,,,,,,OSM,osm,https://www.openstreetmap.org/node/11413680772,0.72,False,fast_food,
osm_node_11413680773,,,,food,cafe,,,33.5842685,-7.6107763,,,,,,OSM,osm,https://www.openstreetmap.org/node/11413680773,0.72,False,cafe,
osm_node_11413680779,,,,food,bar,,,33.5868413,-7.617016,,,,,,OSM,osm,https://www.openstreetmap.org/node/11413680779,0.72,False,bar,
osm_node_11413680870,,,,food,cafe,,,33.5915778,-7.6161709,,,,,,OSM,osm,https://www.openstreetmap.org/node/11413680870,0.72,False,cafe,
osm_node_11413681074,,,,food,cafe,,,33.5724602,-7.6002151,,,,,,OSM,osm,https://www.openstreetmap.org/node/11413681074,0.72,False,cafe,
osm_node_11413681075,,,,food,bar,,,33.5913457,-7.6164872,,,,,,OSM,osm,https://www.openstreetmap.org/node/11413681075,0.72,False,bar,
osm_node_11413681369,,,,food,cafe,,,33.5888924,-7.6185798,,,,,,OSM,osm,https://www.openstreetmap.org/node/11413681369,0.72,False,cafe,
osm_node_11414762580,,,,food,fast_food,,,33.5884104,-7.6127441,,,,,,OSM,osm,https://www.openstreetmap.org/node/11414762580,0.72,False,fast_food,
osm_node_11414762682,,,,food,cafe,,,33.5907294,-7.614857,,,,,,OSM,osm,https://www.openstreetmap.org/node/11414762682,0.72,False,cafe,
osm_node_11414762685,,,,food,cafe,,,33.5893666,-7.6134495,,,,,,OSM,osm,https://www.openstreetmap.org/node/11414762685,0.72,False,cafe,
osm_node_11414762771,,,,food,cafe,,,33.5903113,-7.614465,,,,,,OSM,osm,https://www.openstreetmap.org/node/11414762771,0.72,False,cafe,
osm_node_11414762772,Brasserie Horse Ex La Coche,,,food,bar,,,33.5887679,-7.6131077,,,,,,OSM,osm,https://www.openstreetmap.org/node/11414762772,0.72,False,pub,
osm_node_11414763870,,,,food,cafe,,,33.5903975,-7.6144145,,,,,,OSM,osm,https://www.openstreetmap.org/node/11414763870,0.72,False,cafe,
osm_node_11415142369,,,,food,cafe,,,33.5853537,-7.6101606,,,,,,OSM,osm,https://www.openstreetmap.org/node/11415142369,0.72,False,cafe,
osm_node_11415330998,,,,food,cafe,,,33.5915693,-7.6153454,,,,,,OSM,osm,https://www.openstreetmap.org/node/11415330998,0.72,False,cafe,
osm_node_11415330999,,,,food,fast_food,,,33.5924905,-7.6158505,,,,,,OSM,osm,https://www.openstreetmap.org/node/11415330999,0.72,False,fast_food,
osm_node_11415331677,,,,food,cafe,,,33.5930075,-7.615992,,,,,,OSM,osm,https://www.openstreetmap.org/node/11415331677,0.72,False,cafe,
osm_node_11415331871,,,,food,fast_food,,,33.5908221,-7.6148131,,,,,,OSM,osm,https://www.openstreetmap.org/node/11415331871,0.72,False,fast_food,
osm_node_11415331970,,,,food,bar,,,33.5910039,-7.615001,,,,,,OSM,osm,https://www.openstreetmap.org/node/11415331970,0.72,False,bar,
osm_node_11418289969,,,,food,bar,,,33.5958744,-7.6101903,,,,,,OSM,osm,https://www.openstreetmap.org/node/11418289969,0.72,False,bar,
osm_node_11446031504,Pizza Hut Express,,,food,fast_food,pizza,,33.5891754,-7.6289622,,,,,Pizza Hut,OSM,osm,https://www.openstreetmap.org/node/11446031504,0.72,False,fast_food,
osm_node_11446166490,Coin jean jaures,,,food,fast_food,,,33.5897458,-7.6275991,,,,,,OSM,osm,https://www.openstreetmap.org/node/11446166490,0.72,False,fast_food,
osm_node_11446167665,Casa jose,,,food,restaurant,italian,,33.5896958,-7.6274645,,,,,,OSM,osm,https://www.openstreetmap.org/node/11446167665,0.72,False,restaurant,
osm_node_11446169112,,,,food,bar,,,33.5898639,-7.6282421,,,,,,OSM,osm,https://www.openstreetmap.org/node/11446169112,0.72,False,public_bath,
osm_node_11446876469,,,,food,cafe,,,33.4560689,-7.5150199,,,,,,OSM,osm,https://www.openstreetmap.org/node/11446876469,0.72,False,cafe,
osm_node_11630506395,,,,food,cafe,,,33.5386387,-7.6804125,,,,,,OSM,osm,https://www.openstreetmap.org/node/11630506395,0.72,False,cafe,
osm_node_11717443434,Café le Rossignol,,,food,cafe,,,33.536662,-7.5873179,,,,,,OSM,osm,https://www.openstreetmap.org/node/11717443434,0.72,False,cafe,
osm_node_11742852053,Oh My Bun,,,food,fast_food,burger;american,,33.5886854,-7.6317411,,,,,,OSM,osm,https://www.openstreetmap.org/node/11742852053,0.72,False,fast_food,
osm_node_11822391927,Dahab Café,,,food,cafe,,,33.5887839,-7.6323473,,,,,,OSM,osm,https://www.openstreetmap.org/node/11822391927,0.72,False,cafe,
osm_node_11822391928,Niya,,,food,restaurant,,,33.5886969,-7.632462,+212 6 11 18 93 90,https://niya-casablanca.com/,Tu-Sa 10:00-21:00; Su 10:00-17:00,,,OSM,osm,https://www.openstreetmap.org/node/11822391928,0.72,False,restaurant,
osm_node_11891549020,Green Black,,,food,cafe,,,33.607696,-7.6208604,,,,,,OSM,osm,https://www.openstreetmap.org/node/11891549020,0.72,False,cafe,
osm_node_11891561552,La Mass,,,food,fast_food,,,33.6023944,-7.6216848,,,,,,OSM,osm,https://www.openstreetmap.org/node/11891561552,0.72,False,fast_food,
osm_node_11891921341,Bambou Panda,,,food,restaurant,chinese,,33.6058793,-7.628809,,,,,,OSM,osm,https://www.openstreetmap.org/node/11891921341,0.72,False,restaurant,
