id,name,name_fr,name_ar,sector,category,sub_category,address,lat,lon,phone,website,opening_hours,operator,brand,source,source_type,source_url,confidence_score,is_verified,osm_amenity,osm_shop
osm_way_167625368,,,,education,school,,,33.5779366,-7.6025847,,,,,,OSM,osm,https://www.openstreetmap.org/way/167625368,0.65,False,school,
osm_way_167628018,Lycée Collègial El Kastalani الثانوية الإعدادية القسطلاني,Lycée Collègial El Kastalani,الثانوية الإعدادية القسطلاني,education,school,,,33.5746957,-7.6078043,,,,,,OSM,osm,https://www.openstreetmap.org/way/167628018,0.65,False,school,
osm_way_167628019,,,,education,university,,,33.5784405,-7.6074601,,,,,,OSM,osm,https://www.openstreetmap.org/way/167628019,0.65,False,college,
osm_way_168411293,Lycée Lyautey,,,education,school,,Boulevard Ziraoui شارع الزيراوي,33.5957369,-7.6350385,,https://www.lyceelyautey.org/,,,,OSM,osm,https://www.openstreetmap.org/way/168411293,0.65,False,school,
osm_way_214267809,Faculté de Médecine et de Pharmacie de Casablanca,Faculté de Médecine et de Pharmacie de Casablanca,,education,university,,,33.5742785,-7.6221132,,,,,,OSM,osm,https://www.openstreetmap.org/way/214267809,0.65,False,university,
osm_way_214267811,Lycée Mohammed V الثانوية التأهيلية محمد الخامس,Lycée Mohammed V,الثانوية التأهيلية محمد الخامس,education,school,,Avenue 2 Mars شارع 2 مارس,33.5777524,-7.6137176,,,,,,OSM,osm,https://www.openstreetmap.org/way/214267811,0.65,False,school,
osm_way_214477128,École Théophile Gautier,,,education,school,,,33.5851215,-7.643475,+212 5 22 25 33 19,https://www.ecolegautier.com/,,,,OSM,osm,https://www.openstreetmap.org/way/214477128,0.65,False,school,
osm_way_215437574,College,,,education,university,,,33.5808884,-7.5940351,,,,,,OSM,osm,https://www.openstreetmap.org/way/215437574,0.65,False,college,
osm_way_218422443,Lycee technique Jabber Ibnou Hayyan,,,education,university,,,33.5869782,-7.6060258,,,,,,OSM,osm,https://www.openstreetmap.org/way/218422443,0.65,False,college,
osm_way_222715970,Lycée Moulay Abdellah,,,education,school,,,33.5608431,-7.6136341,,,,,,OSM,osm,https://www.openstreetmap.org/way/222715970,0.65,False,school,
